Name_sequence	Genome_length	Virus_name	Complete_segment_name
NC_030397	2479	Cronartium ribicola mitovirus 4	Cronartium ribicola mitovirus 4, complete genome
NC_030447	2264	Gemycircularvirus HV-GcV1	Gemycircularvirus HV-GcV1, complete genome
NC_030655	10644	Rhizoctonia solani flexivirus 1	Rhizoctonia solani flexivirus 1, complete genome
NC_030654	8246	Fusarium graminearum deltaflexivirus 1	Fusarium graminearum deltaflexivirus 1, complete genome
NC_030656	133492	Pteropox virus	Pteropox virus, complete genome
NC_030651	10913	Nylanderia fulva virus 1	Nylanderia fulva virus 1, complete genome
NC_030652	42140	Staphylococcus virus 80	Staphylococcus virus 80, complete genome
NC_030653	10908	Atypical porcine pestivirus 1	Atypical porcine pestivirus 1, complete genome
NC_030697	9808	Picornavirales Bu-3	Picornavirales Bu-3, complete genome
NC_030698	52924	Gordonia phage Soups	Gordonia phage Soups, complete genome
NC_030696	93139	Gordonia phage Smoothie	Gordonia phage Smoothie, complete genome
NC_030694	52684	Gordonia phage Rosalind	Gordonia phage Rosalind, complete genome
NC_030695	52689	Gordonia phage KatherineG	Gordonia phage KatherineG, complete genome
NC_030701	8798	Variegated squirrel bornavirus 1	Variegated squirrel bornavirus 1, complete genome
NC_030745	9224	Picornavirales Bu-1	Picornavirales Bu-1, complete genome
NC_030744	9868	Picornavirales Tottori-HG1	Picornavirales Tottori-HG1, complete genome
NC_030743	9863	Brejeira virus	Brejeira virus, complete genome
NC_030791	9443	Hepatitis C virus genotype 7	Hepatitis C virus genotype 7, complete genome
NC_030448	2262	Gemycircularvirus HV-GcV2	Gemycircularvirus HV-GcV2, complete genome
NC_030479	1524	Pseudogymnoascus destructans partitivirus-pa	Pseudogymnoascus destructans partitivirus-pa, segment 2
NC_030480	1682	Pseudogymnoascus destructans partitivirus-pa	Pseudogymnoascus destructans partitivirus-pa, segment 1
NC_030792	32690	Equine adenovirus 1	Equine adenovirus 1, complete genome
NC_030794	9859	Callistephus mottle virus	Callistephus mottle virus, complete genome
NC_030840	9778	Coccinia mottle virus	Coccinia mottle virus, complete genome
NC_030847	9837	Barbacena virus Y	Barbacena virus Y, complete genome
NC_030842	115510	Ranavirus maximus	Ranavirus maximus, complete genome
NC_030848	31314	Haloarcula californiae icosahedral virus 1	Haloarcula californiae icosahedral virus 1, complete genome
NC_030843	8946	Washington bat picornavirus	Washington bat picornavirus, complete genome
NC_030841	12162	Wabat virus	Wabat virus, complete genome
NC_030931	41871	Pseudomonas phage phi2	Pseudomonas phage phi2, complete genome
NC_030926	8506	Jasmine virus C	Jasmine virus C, complete genome
NC_030458	5016	Chimpanzee faeces associated microphage 3	Chimpanzee faeces associated microphage 3, complete genome
NC_030919	42418	Salmonella phage 118970_sal4	Salmonella phage 118970_sal4, complete genome
NC_030925	138081	Bacillus phage Shbh1	Bacillus phage Shbh1, complete genome
NC_030948	167619	Ralstonia phage RSP15	Ralstonia phage RSP15, complete genome
NC_030940	32637	Pseudomonas phage phi3	Pseudomonas phage phi3, complete genome
NC_030938	9639	Rosellinia necatrix endornavirus 1	Rosellinia necatrix endornavirus 1, complete genome
NC_030903	152069	Bacillus phage SPG24	Bacillus phage SPG24, complete genome
NC_030927	45858	Gordonia phage Splinter	Gordonia phage Splinter, complete genome
NC_030915	80650	Gordonia phage Orchid	Gordonia phage Orchid, complete genome
NC_030917	93577	Gordonia phage OneUp	Gordonia phage OneUp, complete genome
NC_030924	75680	Gordonia phage Monty	Gordonia phage Monty, complete genome
NC_030912	17119	Gordonia phage McGonagall	Gordonia phage McGonagall, complete genome
NC_030914	75462	Gordonia phage Kvothe	Gordonia phage Kvothe, complete genome
NC_030944	74073	Gordonia phage Demosthenes	Gordonia phage Demosthenes, complete genome
NC_030941	46600	Gordonia phage Cozz	Gordonia phage Cozz, complete genome
NC_030901	92618	Gordonia phage ClubL	Gordonia phage ClubL, complete genome
NC_030472	4851	Chimpanzee faeces associated microphage 1	Chimpanzee faeces associated microphage 1, complete genome
NC_030942	55524	Gordonia phage BritBrat	Gordonia phage BritBrat, complete genome
NC_030930	46570	Gordonia phage Bowser	Gordonia phage Bowser, complete genome
NC_030943	54990	Gordonia phage Blueberry	Gordonia phage Blueberry, complete genome
NC_030936	93843	Gordonia phage Bachita	Gordonia phage Bachita, complete genome
NC_030910	93754	Pseudomonas phage K5	Pseudomonas phage K5, complete genome
NC_030934	90552	Pseudomonas phage vB_PsyM_KIL1	Pseudomonas phage vB_PsyM_KIL1, complete genome
NC_030909	50183	Pseudomonas phage YMC11/07/P54_PAE_BP	Pseudomonas phage YMC11/07/P54_PAE_BP, complete genome
NC_030923	45417	Pseudomonas phage YMC11/06/C171_PPU_BP	Pseudomonas phage YMC11/06/C171_PPU_BP, complete genome
NC_030918	36629	Pseudomonas phage JBD93	Pseudomonas phage JBD93, complete genome
NC_030908	36938	Pseudomonas phage JBD69	Pseudomonas phage JBD69, complete genome
NC_030929	49033	Pseudomonas phage JBD44	Pseudomonas phage JBD44, complete genome
NC_030920	165868	Bacillus phage Eldridge	Bacillus phage Eldridge, complete genome
NC_030904	38975	Bacillus phage vB_BhaS-171	Bacillus phage vB_BhaS-171, complete genome
NC_030946	33477	Streptococcus phage phiARI0923	Streptococcus phage phiARI0923, complete genome
NC_030916	56212	Tsukamurella phage TPA4	Tsukamurella phage TPA4, complete genome
NC_030935	17727	Gordonia phage GRU3	Gordonia phage GRU3, complete genome
NC_030454	7317	Human enterovirus	Human enterovirus, complete genome
NC_030462	6966	Canna yellow mottle-associated virus	Canna yellow mottle-associated virus, complete genome
NC_030907	17562	Gordonia phage GMA5	Gordonia phage GMA5, complete genome
NC_030939	45537	Gordonia phage GMA4	Gordonia phage GMA4, complete genome
NC_030648	748	Carrot mottle mimic virus satellite RNA	Carrot mottle mimic virus satellite RNA, complete genome
NC_030658	1833	Pigeonpea sterility mosaic emaravirus 2	Pigeonpea sterility mosaic emaravirus 2, segment RNA 5
NC_030659	1194	Pigeonpea sterility mosaic emaravirus 2	Pigeonpea sterility mosaic emaravirus 2, segment RNA 6
NC_030661	1335	Pigeonpea sterility mosaic emaravirus 2	Pigeonpea sterility mosaic emaravirus 2, segment RNA 3
NC_030902	41207	Gordonia phage GMA1	Gordonia phage GMA1, complete genome
NC_030906	83324	Gordonia phage GMA6	Gordonia phage GMA6, complete genome
NC_030932	43505	Gordonia phage Gsput1	Gordonia phage Gsput1, complete genome
NC_030945	39873	Bacillus phage BalMu-1	Bacillus phage BalMu-1, complete genome
NC_030933	133798	Staphylococcus phage Stau2	Staphylococcus phage Stau2, complete genome
NC_030905	73752	Gordonia phage Woes	Gordonia phage Woes, complete genome
NC_030913	58308	Gordonia phage Wizard	Gordonia phage Wizard, complete genome
NC_030911	45858	Gordonia phage Vendetta	Gordonia phage Vendetta, complete genome
NC_030921	49768	Gordonia phage Utz	Gordonia phage Utz, complete genome
NC_030953	170650	Shigella phage SHFML-11	Shigella phage SHFML-11, complete genome
NC_030860	29581	Bat mastadenovirus WIV12	Bat mastadenovirus WIV12, complete genome
NC_030657	6400	Yacon virus A	Yacon virus A, complete genome
NC_030874	29162	Bat mastadenovirus WIV13	Bat mastadenovirus WIV13, complete genome
NC_030869	9148	Fusarium poae mycovirus 1	Fusarium poae mycovirus 1, complete genome
NC_030884	32995	Sulfolobus islandicus rudivirus 3	Sulfolobus islandicus rudivirus 3, complete genome
NC_030886	30161	Rousettus bat coronavirus	Rousettus bat coronavirus, complete genome
NC_031069	32729	Streptococcus virus 9871	Streptococcus virus 9871, complete genome
NC_031116	163345	Bacillus phage Zuko	Bacillus phage Zuko, complete genome
NC_030660	7009	Pigeonpea sterility mosaic emaravirus 2	Pigeonpea sterility mosaic emaravirus 2, segment RNA 1
NC_031027	162359	Bacillus phage SageFayge	Bacillus phage SageFayge, complete genome
NC_031100	164443	Bacillus phage Phrodo	Bacillus phage Phrodo, complete genome
NC_030662	2229	Pigeonpea sterility mosaic emaravirus 2	Pigeonpea sterility mosaic emaravirus 2, segment RNA 2
NC_030663	1491	Pigeonpea sterility mosaic emaravirus 2	Pigeonpea sterility mosaic emaravirus 2, segment RNA 4
NC_030650	2568	Gorilla anellovirus	Gorilla anellovirus, complete genome
NC_031049	161929	Bacillus phage NotTheCreek	Bacillus phage NotTheCreek, complete genome
NC_031037	163041	Bacillus phage Nigalana	Bacillus phage Nigalana, complete genome
NC_031070	162375	Bacillus phage Nemo	Bacillus phage Nemo, complete genome
NC_031006	161552	Bacillus phage DIGNKC	Bacillus phage DIGNKC, complete genome
NC_031018	39274	Citrobacter phage SH4	Citrobacter phage SH4, complete genome
NC_030649	745	Carrot mottle virus satellite RNA	Carrot mottle virus satellite RNA, complete genome
NC_030699	2759	Ramie mosaic Yunnan virus	Ramie mosaic Yunnan virus, segment DNA-A
NC_030749	2740	Malvastrum yellow vein Honghe virus	Malvastrum yellow vein Honghe virus, segment DNA-A
NC_031123	39444	Citrobacter phage SH3	Citrobacter phage SH3, complete genome
NC_031092	39158	Citrobacter phage SH2	Citrobacter phage SH2, complete genome
NC_031066	39434	Citrobacter phage SH1	Citrobacter phage SH1, complete genome
NC_031117	44885	Acinetobacter phage LZ35	Acinetobacter phage LZ35, complete genome
NC_031086	40570	Acinetobacter phage phiAB6	Acinetobacter phage phiAB6, complete genome
NC_030693	6863	Grapevine Red Globe virus	Grapevine Red Globe virus, complete genome
NC_031095	168758	Klebsiella phage PKO111	Klebsiella phage PKO111, complete genome
NC_031053	50934	Klebsiella phage PKP126	Klebsiella phage PKP126, complete genome
NC_031047	170770	Escherichia phage HY03	Escherichia phage HY03, complete genome
NC_030742	3935	Gompholobium virus A	Gompholobium virus A, complete genome
NC_030748	2742	Senna leaf curl virus	Senna leaf curl virus, complete genome
NC_031005	29338	Propionibacterium phage QueenBey	Propionibacterium phage QueenBey, complete genome
NC_031003	29254	Propionibacterium phage Moyashi	Propionibacterium phage Moyashi, complete genome
NC_031119	29347	Propionibacterium phage Enoki	Propionibacterium phage Enoki, complete genome
NC_030746	6775	Senna mosaic virus	Senna mosaic virus, complete genome
NC_031084	29249	Propionibacterium phage BruceLethal	Propionibacterium phage BruceLethal, complete genome
NC_031042	111325	Salmonella phage NR01	Salmonella phage NR01, complete genome
NC_031039	251042	Bacillus phage AR9	Bacillus phage AR9, complete genome
NC_031102	42429	Mycobacterium phage Sneeze	Mycobacterium phage Sneeze, complete genome
NC_030747	2506	Alternaria arborescens mitovirus 1	Alternaria arborescens mitovirus 1, complete genome
NC_030751	1700	Wuhan Insect virus 2	Wuhan Insect virus 2, segment S
NC_030864	2387	Fusarium poae mitovirus 4	Fusarium poae mitovirus 4, complete genome
NC_031078	50082	Streptomyces phage Nanodon	Streptomyces phage Nanodon, complete genome
NC_031124	76012	Mycobacterium phage Gardann	Mycobacterium phage Gardann, complete genome
NC_031059	38773	Rhodovulum phage vB_RhkS_P1	Rhodovulum phage vB_RhkS_P1, complete genome
NC_030750	6515	Wuhan Insect virus 2	Wuhan Insect virus 2, segment M
NC_031064	36202	Lactococcus phage 98201	Lactococcus phage 98201, complete genome
NC_031017	32409	Lactococcus phage 63301	Lactococcus phage 63301, complete genome
NC_031040	31987	Lactococcus phage 50101	Lactococcus phage 50101, complete genome
NC_031013	34396	Lactococcus phage 28201	Lactococcus phage 28201, complete genome
NC_031057	180219	Citrobacter phage vB_CfrM_CfP1	Citrobacter phage vB_CfrM_CfP1, complete genome
NC_030752	7243	Wuhan Insect virus 2	Wuhan Insect virus 2, segment L
NC_030793	7484	Bovine calicivirus strain Kirklareli	Bovine calicivirus strain Kirklareli, complete genome
NC_030801	7149	Bos taurus papillomavirus 21	Bos taurus papillomavirus 21, complete genome
NC_031025	42201	Klebsiella phage KpV475	Klebsiella phage KpV475, complete genome
NC_030800	7277	Bos taurus papillomavirus 20	Bos taurus papillomavirus 20, complete genome
NC_030799	7253	Bos taurus papillomavirus 19	Bos taurus papillomavirus 19, complete genome
NC_030798	7282	Bos taurus papillomavirus 18	Bos taurus papillomavirus 18, complete genome
NC_030797	7402	Bos taurus papillomavirus 17	Bos taurus papillomavirus 17, complete genome
NC_030796	7527	Bos taurus papillomavirus 16	Bos taurus papillomavirus 16, complete genome
NC_030795	7961	Bos taurus papillomavirus 13	Bos taurus papillomavirus 13, complete genome
NC_030838	7299	Sparus aurata polyomavirus 1	Sparus aurata polyomavirus 1, complete genome
NC_030837	4639	Sea otter parvovirus 1	Sea otter parvovirus 1, complete genome
NC_030863	2718	Fusarium poae mitovirus 3	Fusarium poae mitovirus 3, complete genome
NC_030839	5748	Sparus aurata papillomavirus 1	Sparus aurata papillomavirus 1, complete genome
NC_031062	75147	Erwinia phage vB_EamP_Frozen	Erwinia phage vB_EamP_Frozen, complete genome
NC_031098	40749	Acinetobacter phage vB_AbaS_TRS1	Acinetobacter phage vB_AbaS_TRS1, complete genome
NC_031020	163201	Morganella phage vB_MmoM_MP1	Morganella phage vB_MmoM_MP1, complete genome
NC_031115	39616	Morganella phage vB_MmoP_MP2	Morganella phage vB_MmoP_MP2, complete genome
NC_031087	168272	Klebsiella phage vB_KpnM_KpV477	Klebsiella phage vB_KpnM_KpV477, complete genome
NC_031024	162308	Bacillus phage Belinda	Bacillus phage Belinda, complete genome
NC_031050	51802	Enterobacteria phage vB_EcoS_NBD2	Enterobacteria phage vB_EcoS_NBD2, complete genome
NC_031108	39640	Propionibacterium phage PFR2	Propionibacterium phage PFR2, complete genome
NC_031076	38071	Propionibacterium phage PFR1	Propionibacterium phage PFR1, complete genome
NC_031030	170788	Escherichia phage UFV-AREG1	Escherichia phage UFV-AREG1, complete genome
NC_030845	4268	Egaro virus	Egaro virus, complete genome
NC_030862	2414	Fusarium poae mitovirus 2	Fusarium poae mitovirus 2, complete genome
NC_031034	161140	Bacillus phage SalinJah	Bacillus phage SalinJah, complete genome
NC_031112	59265	Gordonia phage Phinally	Gordonia phage Phinally, complete genome
NC_031061	53431	Gordonia phage Nymphadora	Gordonia phage Nymphadora, complete genome
NC_030846	4388	Duwamo virus	Duwamo virus, complete genome
